사업자등록번호,기업명,공기업구분,개인법인구분,본점지점구분,국외투자법인여부,벤처기업여부,상장코드,산업코드1,공공기관유형,중견기업보호여부,본점기업코드,설립일자,설립구분,국가명,직원수,폐업여부,산업코드 대분류,구글 검색량
1318609105,일도에프엔씨,2,1,1,0,0,0,23,0,0,0,2008-07-07,1,0,27.0,0,제조업,4.0
1308635328,진화금속,2,1,1,0,0,0,46,0,0,0,2008-06-18,1,0,32.0,0,도매 및 소매업,22100.0
1428114374,스타리소스,2,1,1,0,0,0,38,0,0,0,2008-06-17,1,0,3.0,0,"수도, 하수 및 폐기물 처리, 원료 재생업",7420.0
1248669217,피앤씨랩스,2,1,1,0,0,0,13,0,0,0,2008-07-01,1,0,229.0,0,제조업,67.0
1268613136,프렌즈푸드코리아,2,1,1,0,0,0,46,0,0,0,2008-06-24,1,0,37.0,0,도매 및 소매업,2.0
5148165383,박스뱅크,2,1,1,0,1,0,17,0,0,0,2008-06-20,1,0,54.0,0,제조업,74200000.0
5148165438,알앤디텍스타일,2,1,1,0,0,0,13,0,0,0,2008-07-01,1,0,29.0,0,제조업,962.0
5138149226,비젼하이테크,2,1,1,0,0,0,26,0,0,0,2008-06-19,1,0,75.0,0,제조업,1450.0
4188128246,나봄리조트,2,1,1,0,0,0,68,0,0,0,2008-06-24,1,0,13.0,0,부동산업,13.0
6108193343,세진이노테크,2,1,1,0,0,0,30,0,0,0,2008-07-01,1,0,4.0,0,제조업,5.0
6218176233,조아물산,2,1,1,1,0,0,46,0,0,0,2008-06-20,1,2,4.0,0,도매 및 소매업,1260.0
1278611320,썬컴퍼니,2,1,1,0,0,0,17,0,0,0,2008-06-20,1,0,45.0,0,제조업,2990.0
1418112539,스미세이케미칼,2,1,1,1,0,0,46,0,0,0,2008-06-17,1,2,66.0,0,도매 및 소매업,10.0
2228508536,지엠씨백운광업소,2,1,2,0,0,0,7,0,0,1,2008-01-01,1,0,5.0,0,광업,1.0
2068618489,엠메이드대부,2,1,1,0,0,0,66,0,0,0,2007-08-23,4,0,65.0,0,금융 및 보험업,28.0
2068634704,서울생주조,2,1,1,0,0,0,11,0,0,0,2009-08-01,1,0,20.0,0,제조업,5900.0
1068641619,더켐,2,1,1,0,0,0,46,0,0,0,2006-02-13,1,0,29.0,0,도매 및 소매업,0.0
5138144629,쿠어스텍코리아,2,1,1,1,0,0,23,0,0,0,2007-05-02,4,2,210.0,0,제조업,474.0
2118815173,코마스인터렉티브,2,1,1,0,1,0,71,0,0,0,2008-07-02,1,0,86.0,0,"전문, 과학 및 기술 서비스업",17.0
1208729980,에이치엘엠씨,2,1,1,0,0,0,46,0,0,0,2008-07-03,1,0,48.0,0,도매 및 소매업,8.0
1088184924,이노필텍,2,1,1,0,0,0,29,0,0,0,2008-07-03,1,0,86.0,0,제조업,10.0
1018640987,충남섬유,2,1,1,0,0,0,13,0,0,0,2008-07-03,1,0,60.0,0,제조업,25600.0
1078710630,대원플러스개발,2,1,1,0,0,0,58,0,0,0,2008-07-03,1,0,5.0,0,정보통신업,24900.0
2148829147,다이킨코리아,2,1,1,1,0,0,46,0,0,0,2008-08-01,1,2,34.0,0,도매 및 소매업,254.0
2148830213,캠파트너스,2,1,1,0,0,0,75,0,0,0,2008-07-09,1,0,450.0,0,"사업시설 관리, 사업 지원 및 임대 서비스업",7.0
1318609240,대승케이비엠,2,1,1,0,0,0,74,0,0,0,2008-07-08,1,0,630.0,0,"사업시설 관리, 사업 지원 및 임대 서비스업",6.0
1318609217,가나안,2,1,1,0,0,0,20,0,0,0,2008-07-08,1,0,2.0,0,제조업,10800.0
1408130024,경원포장산업,2,1,1,0,0,0,18,0,0,0,2008-07-01,1,0,29.0,0,제조업,1.0
3128600585,알가,2,1,1,0,0,0,29,0,0,0,2008-07-07,1,0,48.0,0,제조업,202.0
3128600815,히코,2,1,1,0,0,0,30,0,0,0,2008-07-01,1,0,22.0,0,제조업,4840.0
6128130572,유경씨엠,2,1,1,0,0,0,23,0,0,0,2008-09-01,1,0,13.0,0,제조업,0.0
1278611470,진양코퍼레이션,2,1,1,0,0,0,30,0,0,0,2008-07-07,1,0,66.0,0,제조업,9.0
2148829297,인슐레이션코리아,2,1,1,1,0,0,72,0,0,0,2008-07-09,1,2,82.0,0,"전문, 과학 및 기술 서비스업",57.0
2118815590,매터스인류크,2,1,1,0,0,0,59,0,0,0,2008-07-10,1,0,10.0,0,정보통신업,10.0
1178165784,씨앤씨학원,2,1,1,0,0,0,85,0,0,0,2008-07-11,1,0,55.0,0,교육 서비스업,43.0
1068659711,래안텍,2,1,1,0,0,0,46,0,0,0,2008-07-10,1,0,15.0,0,도매 및 소매업,335.0
1048615925,엔티산업,2,1,1,0,0,0,68,0,0,0,2008-07-14,1,0,8.0,0,부동산업,15200.0
2208769695,아이에스티엔,2,1,1,0,1,0,58,0,0,0,2008-07-15,1,0,214.0,0,정보통신업,23100.0
1018641142,바인플러스,2,1,1,0,0,0,68,0,0,0,2008-07-16,1,0,2.0,0,부동산업,8.0
1378189489,우덱스,2,1,1,0,1,0,16,0,0,0,2008-07-21,1,0,19.0,0,제조업,1960.0
1298623967,세정엠아이,2,1,1,0,0,0,46,0,0,0,2008-07-15,1,0,12.0,0,도매 및 소매업,3.0
1408130363,창일텍스타일,2,1,1,0,0,0,13,0,0,0,2008-07-15,1,0,52.0,0,제조업,0.0
