사업자등록번호,기업명,공기업구분,개인법인구분,본점지점구분,국외투자법인여부,벤처기업여부,상장코드,산업코드1,공공기관유형,중견기업보호여부,본점기업코드,설립일자,설립구분,국가명,직원수,폐업여부,산업코드 대분류,구글 검색량
6998800448,다다디에이티,2,1,1,0,0,0,68,0,0,0,2016-10-17,1,0,1.0,0,부동산업,53800
3728800368,서울개봉뉴스테이위탁관리부동산투자회사,2,1,1,0,0,0,68,0,0,0,2016-10-20,1,0,3.0,0,부동산업,57
5708600518,엠렉,2,1,1,0,0,0,46,0,0,0,2016-10-20,1,0,20.0,0,도매 및 소매업,1
6538600545,씨스타마리타임,2,1,1,0,0,0,52,0,0,0,2016-10-21,1,0,12.0,0,운수 및 창고업,1120
5478100487,홍장성,2,1,1,1,0,0,46,0,0,0,2016-10-19,1,1,2.0,0,도매 및 소매업,6970
7078700460,케이엘개발,2,1,1,0,0,0,72,0,0,0,2016-10-20,1,0,3.0,0,"전문, 과학 및 기술 서비스업",22500
4538100692,엔에이치에프제11호공공임대위탁관리부동산투자회사,2,1,1,0,0,0,68,0,0,0,2016-10-14,1,0,4.0,0,부동산업,474
2778600598,성진기술,2,1,1,0,1,0,22,0,0,0,2016-10-19,1,0,17.0,0,제조업,11100
2058700697,랜드비전,2,1,1,0,0,0,68,0,0,0,2016-10-19,1,0,8.0,0,부동산업,218000
7818700532,지에스에프씨,2,1,1,0,0,0,70,0,0,0,2016-10-19,1,0,29.0,0,"전문, 과학 및 기술 서비스업",540000
7158100590,스카이인슈판넬,2,1,1,0,1,0,25,0,0,0,2016-10-17,1,0,28.0,0,제조업,90
2768800551,바이오오케스트라,2,1,1,0,1,0,70,0,0,0,2016-10-13,1,0,85.0,0,"전문, 과학 및 기술 서비스업",43600
6678100516,천안미드힐타운위탁관리부동산투자회사,2,1,1,0,0,0,68,0,0,0,2016-10-18,1,0,1.0,0,부동산업,5
1108617554,아셀,2,1,1,0,1,0,26,0,0,0,2016-10-25,1,0,50.0,0,제조업,4090
7398800542,밀양관광단지조성사업단,2,1,1,0,0,0,68,3,0,0,2016-10-21,1,0,6.0,0,부동산업,512
2728600496,마루힐개발,2,1,1,0,0,0,55,0,0,0,2016-10-18,1,0,4.0,0,숙박 및 음식점업,7990
7718600445,랜드마크,2,1,1,0,0,0,41,0,0,0,2016-10-20,1,0,3.0,0,건설업,753000
4858100535,뉴욕파이낸셜그룹,2,1,1,0,0,0,68,0,0,0,2016-10-21,1,0,6.0,0,부동산업,24700
1108800552,원프레딕트,2,1,1,0,1,0,72,0,0,0,2016-10-26,1,0,22.0,0,"전문, 과학 및 기술 서비스업",2720
7068600626,히든타이거,2,1,1,0,0,0,46,0,0,0,2016-10-26,1,0,19.0,0,도매 및 소매업,214000
7028100497,이대한경제신문,2,1,1,0,0,0,58,0,0,0,2016-10-26,1,0,99.0,0,정보통신업,237000
3748700519,팀씨,2,1,1,0,1,0,63,0,0,0,2016-12-01,1,0,18.0,0,정보통신업,1
3538800504,목포미래학사,2,1,1,0,0,0,68,0,0,0,2016-10-27,1,0,1.0,0,부동산업,3050
6938800585,큐로모터스,2,1,1,0,0,0,45,0,0,0,2016-10-28,1,0,36.0,0,도매 및 소매업,687
