사업자등록번호,기업명,공기업구분,개인법인구분,본점지점구분,국외투자법인여부,벤처기업여부,상장코드,산업코드1,공공기관유형,중견기업보호여부,본점기업코드,설립일자,설립구분,국가명,직원수,폐업여부,산업코드 대분류,구글 검색량,설립일자(day),회사명,sum_rlt,재무정보_분기
1138111739,한일가스산업,2,1,1,0,0,0,47,0,0,0,1966-04-19 00:00:00,1,0,43.0,0,도매 및 소매업,67500.0,20650,1138111739_1,1.0,1
1098164260,카타나골프,2,1,1,0,0,0,46,0,0,0,2000-05-31 00:00:00,1,0,3.0,0,도매 및 소매업,310.0,8189,1098164260_1,5.0,1
1098164260,카타나골프,2,1,1,0,0,0,46,0,0,0,2000-05-31 00:00:00,1,0,3.0,0,도매 및 소매업,310.0,8189,1098164260_2,6.0,2
1078156099,세풍폴리머,2,1,1,0,0,0,46,0,0,0,1996-07-01 00:00:00,1,0,36.0,0,도매 및 소매업,115.0,9619,1078156099_1,1.0,1
1078156099,세풍폴리머,2,1,1,0,0,0,46,0,0,0,1996-07-01 00:00:00,1,0,36.0,0,도매 및 소매업,115.0,9619,1078156099_2,4.0,2
1078156099,세풍폴리머,2,1,1,0,0,0,46,0,0,0,1996-07-01 00:00:00,1,0,36.0,0,도매 및 소매업,115.0,9619,1078156099_3,0.0,3
1078156099,세풍폴리머,2,1,1,0,0,0,46,0,0,0,1996-07-01 00:00:00,1,0,36.0,0,도매 및 소매업,115.0,9619,1078156099_4,1.0,4
1058168570,유피에스에스씨에스코리아,2,1,1,1,0,0,52,0,0,0,1990-09-11 00:00:00,1,1,83.0,0,운수 및 창고업,8790.0,11739,1058168570_1,26.0,1
1058168570,유피에스에스씨에스코리아,2,1,1,1,0,0,52,0,0,0,1990-09-11 00:00:00,1,1,83.0,0,운수 및 창고업,8790.0,11739,1058168570_2,16.0,2
1058168570,유피에스에스씨에스코리아,2,1,1,1,0,0,52,0,0,0,1990-09-11 00:00:00,1,1,83.0,0,운수 및 창고업,8790.0,11739,1058168570_3,24.0,3
1058168570,유피에스에스씨에스코리아,2,1,1,1,0,0,52,0,0,0,1990-09-11 00:00:00,1,1,83.0,0,운수 및 창고업,8790.0,11739,1058168570_4,6.0,4
1138131623,티센크루프머티리얼코리아,2,1,1,1,0,0,25,0,0,0,1991-10-25 00:00:00,1,2,34.0,0,제조업,11200.0,11330,1138131623_1,1.0,1
1138131623,티센크루프머티리얼코리아,2,1,1,1,0,0,25,0,0,0,1991-10-25 00:00:00,1,2,34.0,0,제조업,11200.0,11330,1138131623_2,3.0,2
